1722352551.388280 server started (32330): version 3.4, socket /private/tmp/tmux-501/default, protocol 8
1722352551.388346 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103
1722352551.388360 using libevent 2.1.12-stable select
1722352551.388374 using utf8proc 2.9.0
1722352551.388382 using ncurses 6.5 20240427
1722352551.388769 input_key_build: 0x10e1b7 (KP2) is 2
1722352551.388776 input_key_build: 0x10e1b8 (KP3) is 3
1722352551.388784 input_key_build: 0x10e1b9 (KPEnter) is \n
1722352551.388792 input_key_build: 0x10e1ba (KP0) is 0
1722352551.388799 input_key_build: 0x10e1bb (KP.) is .
1722352551.388807 input_key_build: 0x200000000009 (C-Tab) is \t
1722352551.388815 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1722352551.388822 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1722352551.388830 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1722352551.388838 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1722352551.388846 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1722352551.388853 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1722352551.388861 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1722352551.388869 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1722352551.388876 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1722352551.388884 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1722352551.388891 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1722352551.388899 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1722352551.388907 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1722352551.388914 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1722352551.388922 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1722352551.388929 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1722352551.388937 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1722352551.388945 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1722352551.388973 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1722352551.388979 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1722352551.388984 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1722352551.388990 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1722352551.388995 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1722352551.389001 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1722352551.389006 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1722352551.389011 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1722352551.389017 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1722352551.389022 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1722352551.389027 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1722352551.389032 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1722352551.389037 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1722352551.389043 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1722352551.389048 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1722352551.389053 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1722352551.389059 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1722352551.389064 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1722352551.389069 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1722352551.389075 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1722352551.389080 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1722352551.389085 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1722352551.389091 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1722352551.389096 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1722352551.389102 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1722352551.389107 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1722352551.389112 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1722352551.389117 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1722352551.389123 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1722352551.389128 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1722352551.389133 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1722352551.389138 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1722352551.389144 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1722352551.389149 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1722352551.389154 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1722352551.389160 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1722352551.389165 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1722352551.389171 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1722352551.389176 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1722352551.389181 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1722352551.389187 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1722352551.389192 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1722352551.389198 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1722352551.389204 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1722352551.389209 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1722352551.389214 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1722352551.389220 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1722352551.389225 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1722352551.389231 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1722352551.389237 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1722352551.389243 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1722352551.389249 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1722352551.389254 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1722352551.389259 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1722352551.389265 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1722352551.389270 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1722352551.389275 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1722352551.389291 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1722352551.389297 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1722352551.389302 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1722352551.389307 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1722352551.389313 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1722352551.389318 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1722352551.389324 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1722352551.389329 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1722352551.389335 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1722352551.389340 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1722352551.389345 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1722352551.389350 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1722352551.389356 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1722352551.389361 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1722352551.389366 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1722352551.389372 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1722352551.389377 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1722352551.389382 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1722352551.389388 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1722352551.389393 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1722352551.389399 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1722352551.389404 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1722352551.389409 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1722352551.389415 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1722352551.389420 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1722352551.389426 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1722352551.389431 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1722352551.389437 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1722352551.389443 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1722352551.389448 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1722352551.389454 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1722352551.389459 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1722352551.389465 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1722352551.389473 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1722352551.389479 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1722352551.389484 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1722352551.389490 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1722352551.389495 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1722352551.389501 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1722352551.389506 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1722352551.389512 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1722352551.389517 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1722352551.389522 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1722352551.389528 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1722352551.389533 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1722352551.389539 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1722352551.389544 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1722352551.389549 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1722352551.389555 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1722352551.389560 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1722352551.389566 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1722352551.389571 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1722352551.389577 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1722352551.389582 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1722352551.389588 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1722352551.389601 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1722352551.389607 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1722352551.389613 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1722352551.389618 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1722352551.389623 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1722352551.389629 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1722352551.389634 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1722352551.389640 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1722352551.389645 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1722352551.389650 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1722352551.389656 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1722352551.389661 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1722352551.389666 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1722352551.389672 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1722352551.389677 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1722352551.389683 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1722352551.389688 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1722352551.389693 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1722352551.389699 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1722352551.389704 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1722352551.389710 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1722352551.389715 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1722352551.389720 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1722352551.389726 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1722352551.389731 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1722352551.389737 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1722352551.389742 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1722352551.389747 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1722352551.389753 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1722352551.389758 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1722352551.389764 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1722352551.389769 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1722352551.389774 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1722352551.389780 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1722352551.389785 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1722352551.389791 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1722352551.389796 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1722352551.389802 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1722352551.389807 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1722352551.389813 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1722352551.389818 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1722352551.389824 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1722352551.389829 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1722352551.389835 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1722352551.389840 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1722352551.389846 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1722352551.389852 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1722352551.389865 yylex_token: end at WS
1722352551.389874 yylex_token: bind
1722352551.389881 yylex_token: end at WS
1722352551.389886 yylex_token: -N
1722352551.389896 yylex_token: end at WS
1722352551.389903 yylex_token: Send the prefix key
1722352551.389910 yylex_token: end at WS
1722352551.389917 yylex_token: C-b
1722352551.389926 yylex_token: end at WS
1722352551.389946 yylex_token: send-prefix
1722352551.389958 cmd_parse_build_commands 0:0: bind
1722352551.389965 cmd_parse_build_commands 0:1: -N
1722352551.389973 cmd_parse_build_commands 0:2: Send the prefix key
1722352551.389980 cmd_parse_build_commands 0:3: C-b
1722352551.389987 cmd_parse_build_commands 0:4 0:0: send-prefix
1722352551.390007 cmd_parse_build_commands 0:0: send-prefix
1722352551.390023 args_parse: flags end at 1 of 1
1722352551.390034 cmd_parse_build_commands: send-prefix
1722352551.390042 args_parse_flags: next -N
1722352551.390050 args_parse_flag_argument: -N = Send the prefix key
1722352551.390058 args_parse_flags: next C-b
1722352551.390065 args_parse: flags end at 3 of 5
1722352551.390073 args_parse: 3 = C-b (type STRING)
1722352551.390084 args_parse: 4 = send-prefix (type COMMANDS)
1722352551.390106 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1722352551.390121 cmdq_get_command: [bind-key/0x150906d90] group 2
1722352551.390130 cmdq_append <global>: [bind-key/0x150906d90]
1722352551.390138 yylex_token: end at WS
1722352551.390145 yylex_token: bind
1722352551.390152 yylex_token: end at WS
1722352551.390159 yylex_token: -N
1722352551.390168 yylex_token: end at WS
1722352551.390175 yylex_token: Rotate through the panes
1722352551.390182 yylex_token: end at WS
1722352551.390189 yylex_token: C-o
1722352551.390198 yylex_token: end at WS
1722352551.390205 yylex_token: rotate-window
1722352551.390213 cmd_parse_build_commands 0:0: bind
1722352551.390220 cmd_parse_build_commands 0:1: -N
1722352551.390227 cmd_parse_build_commands 0:2: Rotate through the panes
1722352551.390234 cmd_parse_build_commands 0:3: C-o
1722352551.390243 cmd_parse_build_commands 0:4 0:0: rotate-window
1722352551.390252 cmd_parse_build_commands 0:0: rotate-window
1722352551.390262 args_parse: flags end at 1 of 1
1722352551.390272 cmd_parse_build_commands: rotate-window
1722352551.390280 args_parse_flags: next -N
1722352551.390288 args_parse_flag_argument: -N = Rotate through the panes
1722352551.390294 args_parse_flags: next C-o
1722352551.390301 args_parse: flags end at 3 of 5
1722352551.390309 args_parse: 3 = C-o (type STRING)
1722352551.390316 args_parse: 4 = rotate-window (type COMMANDS)
1722352551.390333 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1722352551.390346 cmdq_get_command: [bind-key/0x150907180] group 10
1722352551.390355 cmdq_append <global>: [bind-key/0x150907180]
1722352551.390363 yylex_token: end at WS
1722352551.390371 yylex_token: bind
1722352551.390378 yylex_token: end at WS
1722352551.390385 yylex_token: -N
1722352551.390394 yylex_token: end at WS
1722352551.390401 yylex_token: Suspend the current client
1722352551.390409 yylex_token: end at WS
1722352551.390415 yylex_token: C-z
1722352551.390424 yylex_token: end at WS
1722352551.390431 yylex_token: suspend-client
1722352551.390441 cmd_parse_build_commands 0:0: bind
1722352551.390448 cmd_parse_build_commands 0:1: -N
1722352551.390455 cmd_parse_build_commands 0:2: Suspend the current client
1722352551.390462 cmd_parse_build_commands 0:3: C-z
1722352551.390470 cmd_parse_build_commands 0:4 0:0: suspend-client
1722352551.390479 cmd_parse_build_commands 0:0: suspend-client
1722352551.390489 args_parse: flags end at 1 of 1
1722352551.390499 cmd_parse_build_commands: suspend-client
1722352551.390506 args_parse_flags: next -N
1722352551.390513 args_parse_flag_argument: -N = Suspend the current client
1722352551.390520 args_parse_flags: next C-z
1722352551.390527 args_parse: flags end at 3 of 5
1722352551.390534 args_parse: 3 = C-z (type STRING)
1722352551.390543 args_parse: 4 = suspend-client (type COMMANDS)
1722352551.390561 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1722352551.390572 cmdq_get_command: [bind-key/0x150907490] group 18
1722352551.390579 cmdq_append <global>: [bind-key/0x150907490]
1722352551.390588 yylex_token: end at WS
1722352551.390595 yylex_token: bind
1722352551.390602 yylex_token: end at WS
1722352551.390610 yylex_token: -N
1722352551.390629 yylex_token: end at WS
1722352551.390636 yylex_token: Select next layout
1722352551.390644 yylex_token: end at WS
1722352551.390651 yylex_token: Space
1722352551.390658 yylex_token: end at WS
1722352551.390665 yylex_token: next-layout
1722352551.390673 cmd_parse_build_commands 0:0: bind
1722352551.390681 cmd_parse_build_commands 0:1: -N
1722352551.390688 cmd_parse_build_commands 0:2: Select next layout
1722352551.390696 cmd_parse_build_commands 0:3: Space
1722352551.390703 cmd_parse_build_commands 0:4 0:0: next-layout
1722352551.390713 cmd_parse_build_commands 0:0: next-layout
1722352551.390722 args_parse: flags end at 1 of 1
1722352551.390731 cmd_parse_build_commands: next-layout
1722352551.390739 args_parse_flags: next -N
1722352551.390746 args_parse_flag_argument: -N = Select next layout
1722352551.390754 args_parse_flags: next Space
1722352551.390762 args_parse: flags end at 3 of 5
1722352551.390769 args_parse: 3 = Space (type STRING)
1722352551.390777 args_parse: 4 = next-layout (type COMMANDS)
1722352551.390794 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1722352551.390804 cmdq_get_command: [bind-key/0x150907ae0] group 26
1722352551.390812 cmdq_append <global>: [bind-key/0x150907ae0]
1722352551.390819 yylex_token: end at WS
1722352551.390826 yylex_token: bind
1722352551.390833 yylex_token: end at WS
1722352551.390840 yylex_token: -N
1722352551.390849 yylex_token: end at WS
1722352551.390857 yylex_token: Break pane to a new window
1722352551.390865 yylex_token: end at WS
1722352551.390871 yylex_token: !
1722352551.390879 yylex_token: end at WS
1722352551.390886 yylex_token: break-pane
1722352551.390894 cmd_parse_build_commands 0:0: bind
1722352551.390901 cmd_parse_build_commands 0:1: -N
1722352551.390909 cmd_parse_build_commands 0:2: Break pane to a new window
1722352551.390916 cmd_parse_build_commands 0:3: !
1722352551.390925 cmd_parse_build_commands 0:4 0:0: break-pane
1722352551.390940 cmd_parse_build_commands 0:0: break-pane
1722352551.390948 args_parse: flags end at 1 of 1
1722352551.390957 cmd_parse_build_commands: break-pane
1722352551.390964 args_parse_flags: next -N
1722352551.390972 args_parse_flag_argument: -N = Break pane to a new window
1722352551.390979 args_parse_flags: next !
1722352551.390985 args_parse: flags end at 3 of 5
1722352551.390993 args_parse: 3 = ! (type STRING)
1722352551.391001 args_parse: 4 = break-pane (type COMMANDS)
1722352551.391017 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1722352551.391027 cmdq_get_command: [bind-key/0x150907cf0] group 34
1722352551.391034 cmdq_append <global>: [bind-key/0x150907cf0]
1722352551.391042 yylex_token: end at WS
1722352551.391048 yylex_token: bind
1722352551.391055 yylex_token: end at WS
1722352551.391062 yylex_token: -N
1722352551.391071 yylex_token: end at WS
1722352551.391078 yylex_token: Split window vertically
1722352551.391086 yylex_token: end at WS
1722352551.391093 yylex_token: "
1722352551.391101 yylex_token: end at WS
1722352551.391108 yylex_token: split-window
1722352551.391117 cmd_parse_build_commands 0:0: bind
1722352551.391124 cmd_parse_build_commands 0:1: -N
1722352551.391131 cmd_parse_build_commands 0:2: Split window vertically
1722352551.391139 cmd_parse_build_commands 0:3: "
1722352551.391147 cmd_parse_build_commands 0:4 0:0: split-window
1722352551.391157 cmd_parse_build_commands 0:0: split-window
1722352551.391168 args_parse: flags end at 1 of 1
1722352551.391177 cmd_parse_build_commands: split-window
1722352551.391185 args_parse_flags: next -N
1722352551.391192 args_parse_flag_argument: -N = Split window vertically
1722352551.391200 args_parse_flags: next "
1722352551.391208 args_parse: flags end at 3 of 5
1722352551.391216 args_parse: 3 = " (type STRING)
1722352551.391224 args_parse: 4 = split-window (type COMMANDS)
1722352551.391240 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1722352551.391250 cmdq_get_command: [bind-key/0x1509081d0] group 42
1722352551.391258 cmdq_append <global>: [bind-key/0x1509081d0]
1722352551.391276 yylex_token: end at WS
1722352551.391283 yylex_token: bind
1722352551.391290 yylex_token: end at WS
1722352551.391298 yylex_token: -N
1722352551.391306 yylex_token: end at WS
1722352551.391314 yylex_token: List all paste buffers
1722352551.391322 yylex_token: end at WS
1722352551.391329 yylex_token: #
1722352551.391338 yylex_token: end at WS
1722352551.391346 yylex_token: list-buffers
1722352551.391353 cmd_parse_build_commands 0:0: bind
1722352551.391360 cmd_parse_build_commands 0:1: -N
1722352551.391374 cmd_parse_build_commands 0:2: List all paste buffers
1722352551.391382 cmd_parse_build_commands 0:3: #
1722352551.391392 cmd_parse_build_commands 0:4 0:0: list-buffers
1722352551.391402 cmd_parse_build_commands 0:0: list-buffers
1722352551.391410 args_parse: flags end at 1 of 1
1722352551.391419 cmd_parse_build_commands: list-buffers
1722352551.391426 args_parse_flags: next -N
1722352551.391434 args_parse_flag_argument: -N = List all paste buffers
1722352551.391441 args_parse_flags: next #
1722352551.391449 args_parse: flags end at 3 of 5
1722352551.391456 args_parse: 3 = # (type STRING)
1722352551.391465 args_parse: 4 = list-buffers (type COMMANDS)
1722352551.391481 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1722352551.391491 cmdq_get_command: [bind-key/0x150908610] group 50
1722352551.391499 cmdq_append <global>: [bind-key/0x150908610]
1722352551.391507 yylex_token: end at WS
1722352551.391514 yylex_token: bind
1722352551.391521 yylex_token: end at WS
1722352551.391527 yylex_token: -N
1722352551.391536 yylex_token: end at WS
1722352551.391543 yylex_token: Rename current session
1722352551.391550 yylex_token: end at WS
